restaurant_name,rating,average_price,average_delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location,norm_rating,norm_price,norm_delivery_time,Score
2 Bros Pizza & Resto,3.4,200,56,0,0,0,0,0,0,Bareilly,0.3999999999999999,0.759493670886076,0.7282608695652173,0.5703769950467803
2 Bross Pizza Cafe,3.5,150,28,0,0,1,0,0,0,Aligarh,0.43999999999999995,0.8227848101265822,0.8804347826086957,0.6486873968079251
2 K,4.0,150,44,0,0,1,0,0,0,Salem,0.6399999999999999,0.8227848101265822,0.7934782608695652,0.722600440286186
2 Kaudi Ki Chai,4.0,100,33,0,0,0,1,0,0,Kanpur,0.6399999999999999,0.8860759493670886,0.8532608695652174,0.7531934507429829
2 Slices,4.0,250,23,0,1,0,0,0,0,Raipur,0.6399999999999999,0.6962025316455696,0.907608695652174,0.731523115024766
2 Square,4.3,100,29,0,0,0,0,0,0,Vellore,0.7599999999999998,0.8860759493670886,0.875,0.8197151898734176
2 States,3.5,100,36,1,1,0,1,1,0,Mysore,0.43999999999999995,0.8860759493670886,0.8369565217391305,0.6483021463951568
21 Baker Street,3.2,100,38,0,0,1,0,0,0,Indore,0.32000000000000006,0.8860759493670886,0.8260869565217391,0.5850412768299396
21st Century Bakery,3.9,200,31,0,0,1,0,0,0,Jodhpur,0.5999999999999999,0.759493670886076,0.8641304347826086,0.7111378646119978
21st Fast Food,3.9,400,30,0,0,1,0,0,0,Jodhpur,0.5999999999999999,0.5063291139240507,0.8695652173913043,0.6621353880022013
22 Constanzaa,4.4,200,46,0,0,0,0,0,0,Chennai,0.8,0.759493670886076,0.782608695652174,0.7866813428728674
22 Food Point,3.5,350,38,0,0,1,0,0,0,Ludhiana,0.43999999999999995,0.5696202531645569,0.8260869565217391,0.5817501375894332
221B Shakes,4.0,500,35,0,0,1,0,0,0,Coimbatore,0.6399999999999999,0.3797468354430379,0.8423913043478262,0.6486667583929553
22B The Resort,3.9,200,25,0,1,1,0,0,0,Meerut,0.5999999999999999,0.759493670886076,0.8967391304347826,0.7209204733076499
22G Nutri Kulche Wale,4.1,250,18,0,1,0,1,0,0,Jalandhar,0.6799999999999997,0.6962025316455696,0.9347826086956522,0.7596752889378094
22nd Parallel,4.0,200,31,1,0,0,0,0,0,Rajkot,0.6399999999999999,0.759493670886076,0.8641304347826086,0.7311378646119978
23 Fusion Momos,4.2,150,41,0,0,0,0,0,0,Dharamshala,0.72,0.8227848101265822,0.8097826086956522,0.7674917446340122
24 Carats Mithai Magic,4.4,100,24,0,0,0,0,0,0,Surat,0.8,0.8860759493670886,0.9021739130434783,0.8478673637864613
